Fuel_consumption,Engine_speed,Engine_coolant_temperature,Current_Gear,transmition_oil_temperature,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Indication_of_brake_switch_ON/OFF
409.6,997,86,1,88,5,-0.1,2,2
448,809,86,1,88,3,-0.6,2,2
486.4,786,87,1,88,0,-0.3,2,2
422.4,702,87,1,88,0,0.2,2,2
409.6,687,87,1,88,0,0.2,2,2
371.2,682,87,1,88,0,0.2,2,2
371.2,678,87,1,88,0,0.2,2,2
384,678,87,1,88,0,0.2,2,2
358.4,673,87,1,88,0,0.2,2,2
448,755,87,1,88,0,0.6,1,1
1024,1353,87,1,88,3,1.6,2,2
448,924,87,1,88,5,-0.3,2,2
422.4,805,87,1,88,3,-0.5,2,2
460.8,789,87,1,88,2,-0.1,2,2
448,795,87,1,88,3,0.3,1,1
678.4,1138,87,1,88,5,0.6,1,1
742.4,1376,87,1,88,7,0.4,1,1
1216,1891,87,1,88,11,0.7,1,1
1984,2090,88,2,88,16,1.1,1,1
2649.6,2333,88,2,88,22,1.2,1,1
2803.2,2817,87,2,88,28,0.9,1,1
716.8,2018,87,3,88,32,-0.1,1,1
716.8,1630,87,4,88,34,-0.3,2,2
665.6,1713,87,4,88,35,-1.1,2,2
601.6,1657,87,4,88,34,-1.6,2,2
204.8,1367,87,4,88,31,-2.2,2,2
332.8,1306,87,4,88,28,-2.4,2,2
345.6,940,87,4,88,24,-1.9,2,2
345.6,908,87,3,88,22,-1.7,2,2
486.4,1178,87,3,88,20,-1.7,2,2
435.2,1099,87,3,88,18,-2.1,2,2
422.4,977,87,3,88,15,-2.1,2,2
460.8,889,87,3,88,11,-2.1,2,2
460.8,835,87,3,88,7,-2.6,2,2
460.8,801,87,1,88,2,-2.3,2,2
435.2,753,87,1,88,0,-1.5,2,2
384,689,87,1,88,0,-1.1,2,2
371.2,680,87,1,88,0,-1.1,2,2
358.4,679,87,1,88,0,-1.1,2,2
371.2,678,87,1,88,0,-1.1,2,2
358.4,676,87,1,88,0,-1.1,2,2
358.4,673,87,1,88,0,-1.1,2,2
358.4,671,87,1,88,0,-1.1,2,2
358.4,672,87,1,88,0,-1.1,2,2
358.4,671,87,1,88,0,-1.1,2,2
358.4,671,87,1,88,0,-1.1,2,2
371.2,671,87,1,88,0,-1.1,2,2
358.4,671,87,1,88,0,-1.1,2,2
358.4,672,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
358.4,670,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
371.2,666,87,1,88,0,-1.1,2,2
384,667,87,1,88,0,-1.1,2,2
371.2,667,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
371.2,666,87,1,88,0,-1.1,2,2
384,668,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
384,670,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,672,87,1,88,0,-1.1,2,2
384,669,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
384,669,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
384,667,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
358.4,671,87,1,88,0,-1.1,2,2
384,669,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
371.2,671,87,1,88,0,-1.1,2,2
384,669,87,1,88,0,-1.1,2,2
371.2,669,87,1,88,0,-1.1,2,2
384,671,87,1,88,0,-1.1,2,2
371.2,668,87,1,88,0,-1.1,2,2
371.2,672,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,671,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
384,670,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,670,87,1,88,0,-1.1,2,2
371.2,672,87,1,88,0,-1.1,2,2
371.2,679,87,1,88,1,0,1,1
486.4,900,87,1,88,5,-0.1,1,1
409.6,1016,87,1,88,8,-0.2,1,1
422.4,1069,87,1,88,12,-0.2,1,1
409.6,1134,87,2,88,14,-0.4,1,1
384,1350,87,2,88,16,-0.7,2,2
320,1151,87,2,88,17,-1.1,2,2
332.8,1102,87,2,88,17,-0.9,2,2
448,1320,87,2,88,18,-0.6,1,1
883.2,1967,87,2,88,20,-0.1,1,1
1574.4,1894,87,3,88,22,0.6,1,1
1804.8,1917,87,3,88,25,0.7,1,1
1920,1948,86,3,88,28,0.7,1,1
1497.6,1978,86,3,88,31,0.4,1,1
691.2,1672,86,4,88,31,0,1,1
371.2,1419,85,4,88,30,-0.4,1,1
435.2,1420,85,4,88,29,-0.2,1,1
691.2,1491,84,4,88,29,0,1,1
1164.8,1685,84,4,88,30,0.3,1,1
1420.8,1792,84,4,88,31,0.4,1,1
1484.8,1726,84,4,88,32,0.5,1,1
1382.4,1654,84,4,88,34,0.4,1,1
1267.2,1667,84,4,88,35,0.4,1,1
640,1620,84,4,88,34,-0.1,1,1
166.4,1460,84,4,88,33,-0.6,1,1
0,1453,84,4,88,30,-0.6,1,1
1024,1592,84,4,88,29,0.1,1,1
1497.6,1818,84,4,88,30,0.5,1,1
409.6,1392,84,4,88,30,-0.3,2,2
358.4,1224,84,4,88,27,-1.1,2,2
345.6,998,84,4,88,21,-2,2,2
396.8,990,84,3,88,16,-1.3,2,2
435.2,928,84,3,88,13,-0.9,2,2
435.2,864,85,3,88,11,-0.6,2,2
422.4,840,85,3,88,11,-0.2,2,2
409.6,841,85,3,88,11,-0.1,1,1
371.2,862,85,3,88,13,-0.1,1,1
371.2,915,85,3,88,14,-0.2,1,1
358.4,958,85,3,88,16,-0.2,1,1
460.8,1168,85,3,88,17,-0.1,1,1
358.4,1110,85,3,88,19,-0.3,1,1
345.6,1116,85,3,88,20,-0.3,1,1
371.2,1179,85,3,88,21,-0.3,1,1
486.4,1455,86,3,88,23,-0.2,1,1
448,1508,86,3,88,24,-0.2,1,1
486.4,1595,86,3,88,25,-0.2,1,1
422.4,1487,86,3,88,26,-0.4,1,1
422.4,1475,86,3,88,27,-0.5,1,1
409.6,1496,86,3,88,28,-0.4,2,2
384,1472,86,3,88,28,-0.7,2,2
384,1472,86,3,89,28,-0.6,1,1
576,1727,85,3,89,28,-0.2,1,1
1164.8,1910,85,3,89,28,0.3,1,1
883.2,1884,85,3,89,29,0.1,1,1
1203.2,2022,85,3,89,30,0.3,1,1
985.6,1981,84,3,89,31,0.1,1,1
729.6,1598,84,4,89,31,0,1,1
806.4,1579,84,4,89,32,0.1,1,1
1254.4,1619,84,4,89,33,0.4,1,1
1651.2,1727,84,4,89,36,0.6,1,1
1369.6,1824,84,4,89,38,0.3,1,1
422.4,1802,84,4,89,38,-0.3,1,1
883.2,1832,84,4,89,38,0.1,1,1
1036.8,1873,84,4,89,39,0.1,1,1
908.8,1903,84,4,89,40,0,1,1
345.6,1871,84,4,89,39,-0.5,1,1
422.4,1847,84,4,89,38,-0.2,1,1
652.8,1842,84,4,89,38,-0.1,1,1
793.6,1856,84,4,89,38,0,1,1
678.4,1847,84,4,89,39,-0.1,1,1
358.4,1774,84,4,89,38,-0.4,1,1
1113.6,1858,84,4,89,38,0.2,1,1
576,1823,84,4,89,38,-0.3,2,2
166.4,1765,84,4,89,37,-0.7,2,2
51.2,1692,84,4,89,35,-0.5,1,1
537.6,1668,84,4,89,35,-0.1,1,1
448,1611,84,4,89,34,-0.3,1,1
320,1528,84,4,89,34,-0.5,1,1
192,1565,84,4,89,32,-0.4,1,1
524.8,1518,84,4,89,32,-0.2,1,1
473.6,1527,84,4,89,32,-0.2,1,1
1216,1575,84,4,89,32,0.3,1,1
729.6,1574,84,4,89,33,-0.1,1,1
140.8,1538,84,4,89,32,-0.5,1,1
0,1466,84,4,89,31,-0.5,2,2
0,1385,84,4,89,29,-0.6,2,2
12.8,1259,84,4,89,27,-0.6,2,2
307.2,977,84,4,89,26,-0.4,2,2
345.6,978,84,4,89,25,-0.8,2,2
358.4,939,84,4,89,21,-1.5,2,2
409.6,1020,84,3,89,17,-1.6,2,2
460.8,922,84,3,89,12,-1.5,2,2
460.8,855,84,3,89,8,-1.6,2,2
435.2,808,84,1,89,3,-1.4,2,2
396.8,763,84,1,89,0,-0.5,2,2
332.8,681,84,1,89,0,-0.1,2,2
345.6,678,84,1,89,0,-0.1,2,2
332.8,672,84,1,89,0,-0.1,2,2
345.6,668,84,1,89,0,-0.1,2,2
332.8,667,84,1,89,0,-0.1,2,2
332.8,667,84,1,89,0,-0.1,2,2
345.6,670,84,1,89,0,-0.1,2,2
332.8,664,85,1,89,0,-0.1,2,2
345.6,663,85,1,89,0,-0.1,2,2
332.8,666,85,1,89,0,-0.1,2,2
332.8,667,85,1,89,0,-0.1,2,2
345.6,664,86,1,89,0,-0.1,2,2
358.4,669,86,1,89,0,-0.1,2,2
345.6,662,86,1,89,0,-0.1,2,2
345.6,665,86,1,89,0,-0.1,2,2
345.6,664,86,1,89,0,-0.1,2,2
345.6,665,87,1,89,0,-0.1,2,2
358.4,666,87,1,89,0,-0.1,2,2
358.4,666,87,1,89,0,-0.1,2,2
345.6,670,87,1,89,0,-0.1,2,2
358.4,671,87,1,89,0,-0.1,2,2
345.6,668,87,1,89,0,-0.1,2,2
345.6,664,87,1,89,0,-0.1,2,2
345.6,667,87,1,89,0,-0.1,2,2
345.6,672,87,1,89,0,-0.1,2,2
358.4,668,87,1,89,0,-0.1,2,2
345.6,672,87,1,89,0,-0.1,2,2
358.4,665,87,1,89,0,-0.1,2,2
358.4,675,87,1,89,0,-0.1,2,2
345.6,666,87,1,89,0,-0.1,2,2
358.4,669,87,1,89,0,-0.1,2,2
358.4,673,87,1,89,0,-0.1,2,2
345.6,668,88,1,89,0,-0.1,2,2
358.4,670,88,1,89,0,-0.1,2,2
358.4,665,88,1,89,0,-0.1,2,2
345.6,672,88,1,89,0,-0.1,2,2
358.4,667,88,1,89,0,-0.1,2,2
371.2,669,88,1,89,0,-0.1,2,2
358.4,669,88,1,89,0,-0.1,2,2
358.4,672,88,1,89,0,0.1,2,2
358.4,679,88,1,89,0,0.2,2,2
345.6,666,88,1,89,0,-0.2,2,2
358.4,666,88,1,89,0,-0.3,2,2
358.4,671,88,1,89,0,-0.2,2,2
345.6,670,88,1,89,0,-0.1,2,2
358.4,673,88,1,89,0,-0.1,2,2
345.6,673,88,1,89,0,-0.1,2,2
358.4,670,88,1,89,0,-0.1,2,2
358.4,672,88,1,89,0,0,2,2
345.6,671,88,1,89,0,-0.1,2,2
371.2,663,88,1,89,0,-0.1,2,2
371.2,674,88,1,89,0,0,2,2
358.4,670,88,1,89,0,-0.1,2,2
358.4,670,88,1,89,0,-0.1,2,2
371.2,674,88,1,89,0,0.1,1,1
371.2,712,88,1,89,0,0.3,1,1
588.8,970,88,1,89,2,0.7,1,1
704,1246,88,1,89,6,0.8,1,1
652.8,1373,88,1,89,8,0.3,1,1
1036.8,1712,88,1,89,10,0.8,1,1
1318.4,2002,88,1,89,13,0.8,1,1
1305.6,1759,87,2,89,16,0.8,1,1
691.2,1706,87,2,89,17,0,1,1
960,1850,87,2,89,18,0.3,1,1
972.8,1935,87,2,89,19,0.3,1,1
448,1388,87,2,89,19,-0.3,2,2
448,1160,87,3,89,17,-0.8,2,2
448,1032,86,3,89,15,-0.8,2,2
448,956,86,3,89,14,-0.1,1,1
601.6,1113,85,3,89,14,0.1,1,1
716.8,1256,85,3,89,15,0.3,2,2
448,1018,85,3,89,15,-0.1,1,1
396.8,967,85,3,89,15,-0.1,1,1
396.8,940,85,3,89,15,-0.3,2,2
409.6,923,85,3,89,14,-0.2,1,1
435.2,935,85,3,89,14,-0.1,1,1
729.6,1230,85,3,89,14,0.2,1,1
1088,1488,85,3,89,16,0.5,1,1
1574.4,1729,85,3,89,18,0.8,1,1
1792,1791,85,3,89,21,0.9,1,1
1830.4,1698,85,3,89,24,0.8,1,1
806.4,1636,85,3,89,25,0.1,2,2
499.2,1521,85,3,89,24,-0.6,2,2
448,1344,85,3,89,21,-0.9,2,2
435.2,1187,85,3,89,19,-0.5,2,2
396.8,1109,85,3,89,18,-0.2,1,1
512,1184,85,3,89,18,-0.1,1,1
1049.6,1524,85,3,89,18,0.5,1,1
1574.4,1750,86,3,89,21,0.8,1,1
1817.6,1709,86,3,89,24,0.9,1,1
1971.2,1763,86,3,89,27,0.9,1,1
2176,1933,86,3,89,30,1,1,1
2406.4,2150,86,3,89,34,1,1,1
1868.8,2297,86,3,89,37,0.6,1,1
614.4,1862,86,4,89,37,-0.1,1,1
742.4,1850,86,4,89,37,0,1,1
1241.6,1969,86,4,89,37,0.3,1,1
435.2,1603,86,4,89,37,-0.3,2,2
256,1103,86,4,89,36,-0.8,2,2
320,1140,86,4,89,32,-1.5,2,2
307.2,973,85,4,89,26,-1.7,2,2
320,891,85,4,89,21,-1.5,2,2
371.2,972,85,3,89,17,-0.8,2,2
473.6,1083,85,3,89,16,-0.1,1,1
1267.2,1606,85,3,89,17,0.7,1,1
1984,1885,85,3,89,20,1.1,1,1
1894.4,1726,85,3,89,24,0.9,1,1
1881.6,1760,85,3,89,27,0.9,1,1
2086.4,1914,85,3,89,30,0.9,1,1
1228.8,2006,85,3,89,32,0.4,1,1
640,1652,86,4,89,32,0,1,1
1241.6,1695,86,4,89,33,0.4,1,1
1446.4,1667,86,4,89,35,0.5,1,1
1036.8,1716,86,4,89,36,0.2,1,1
358.4,1644,86,4,89,35,-0.4,1,1
921.6,1692,86,4,89,35,0.1,1,1
742.4,1666,86,4,89,35,0,1,1
704,1692,86,4,89,35,-0.1,1,1
268.8,1580,86,4,89,34,-0.5,1,1
396.8,1583,86,4,89,33,-0.3,1,1
870.4,1586,86,4,89,33,0,1,1
281.6,1491,86,4,89,32,-0.4,1,1
1062.4,1573,86,4,89,32,0.3,1,1
806.4,1550,86,4,89,32,0,1,1
1126.4,1629,86,4,89,33,0.2,1,1
1433.6,1645,86,4,89,34,0.4,1,1
742.4,1672,85,4,89,34,-0.1,1,1
1356.8,1726,85,4,89,35,0.4,1,1
908.8,1819,85,4,89,36,0.1,1,1
1344,1906,85,4,89,37,0.3,1,1
947.2,1901,85,4,89,37,0.1,1,1
1459.2,1971,85,4,89,39,0.4,1,1
614.4,1845,85,4,89,39,-0.2,1,1
1356.8,1932,85,4,89,39,0.3,1,1
691.2,1897,85,4,89,40,-0.1,1,1
972.8,1924,85,4,89,39,0.1,1,1
1561.6,1958,85,4,89,41,0.5,1,1
1907.2,2041,85,4,89,42,0.6,1,1
2073.6,2141,85,4,89,44,0.6,1,1
2252.8,2246,85,4,89,47,0.7,1,1
2227.2,2350,85,4,89,49,0.6,1,1
1075.2,2152,85,4,89,50,0.1,1,1
422.4,1687,85,5,89,49,-0.3,1,1
64,1651,85,5,89,48,-0.5,2,2
0,1583,85,5,89,46,-0.6,1,1
0,1515,85,5,89,44,-0.5,1,1
179.2,1464,85,5,89,43,-0.4,1,1
1139.2,1512,85,5,89,42,0.1,1,1
844.8,1464,85,5,89,42,0,1,1
307.2,1363,85,5,89,41,-0.4,1,1
691.2,1461,85,5,89,41,-0.1,1,1
1318.4,1535,85,5,89,41,0.3,1,1
1331.2,1477,85,5,89,42,0.3,1,1
1510.4,1492,85,5,89,43,0.4,1,1
1433.6,1530,85,5,89,44,0.4,1,1
1574.4,1571,85,5,89,45,0.4,1,1
1574.4,1609,85,5,89,47,0.4,1,1
1382.4,1644,85,5,89,48,0.3,1,1
883.2,1654,85,5,89,48,0.1,1,1
1216,1666,85,5,89,48,0.2,1,1
998.4,1671,85,5,89,49,0.1,1,1
384,1609,85,5,89,47,-0.3,1,1
1152,1655,85,5,89,47,0.1,1,1
524.8,1560,86,5,89,46,-0.2,1,1
76.8,1452,86,5,89,44,-0.5,1,1
0,1437,86,5,89,42,-0.5,1,1
358.4,1408,86,5,89,40,-0.3,1,1
1753.6,1691,86,5,89,40,0.3,1,1
1766.4,2135,86,4,89,40,0.4,1,1
358.4,1794,86,4,89,39,-0.4,1,1
499.2,1835,86,4,89,38,-0.2,1,1
870.4,1836,86,4,89,37,-0.1,1,1
1139.2,1879,86,4,89,38,0.1,2,2
243.2,1588,86,4,89,35,-1.5,2,2
0,1411,86,4,89,29,-1.8,2,2
294.4,971,86,4,89,24,-1.6,2,2
422.4,960,86,3,89,17,-2.5,2,2
537.6,901,86,3,89,8,-2.5,2,2
486.4,826,86,1,89,2,-1.3,2,2
435.2,747,86,1,89,0,-0.2,2,2
371.2,675,86,1,89,0,0,2,2
371.2,672,86,1,89,0,0,2,2
358.4,675,86,1,89,0,0,2,2
345.6,666,87,1,89,0,0,2,2
371.2,672,87,1,89,0,0,2,2
345.6,672,87,1,89,0,0,2,2
345.6,673,87,1,89,0,0,2,2
345.6,670,87,1,89,0,0,2,2
345.6,668,87,1,89,0,0,2,2
332.8,668,87,1,89,0,0,2,2
332.8,667,87,1,89,0,0,2,2
332.8,671,87,1,89,0,0,2,2
345.6,664,87,1,89,0,0,2,2
358.4,670,88,1,89,0,0,2,2
345.6,671,88,1,89,0,0,2,2
371.2,674,88,1,89,0,0,2,2
358.4,667,88,1,89,0,0,2,2
371.2,671,88,1,89,0,0,2,2
371.2,670,88,1,89,0,0,2,2
358.4,673,88,1,89,0,0,2,2
371.2,670,88,1,89,0,0,2,2
371.2,671,88,1,89,0,0,2,2
371.2,673,88,1,89,0,0,2,2
384,670,88,1,89,0,0,2,2
371.2,670,88,1,89,0,0,2,2
371.2,672,88,1,89,0,0,2,2
384,671,88,1,89,0,0,2,2
371.2,670,88,1,89,0,0,2,2
384,670,88,1,89,0,0,2,2
371.2,673,88,1,89,0,0,2,2
371.2,669,87,1,89,0,0,2,2
384,669,87,1,89,0,0,2,2
371.2,673,87,1,89,0,0,2,2
371.2,668,87,1,89,0,0,2,2
384,669,87,1,89,0,0,2,2
358.4,670,87,1,89,0,0,2,2
371.2,671,87,1,89,0,0,2,2
371.2,669,87,1,89,0,0,2,2
358.4,669,87,1,89,0,0,2,2
371.2,669,87,1,89,0,0,2,2
384,668,87,1,89,0,0,2,2
358.4,669,87,1,89,0,0,2,2
358.4,669,87,1,89,0,0,2,2
371.2,669,87,1,89,0,0,2,2
371.2,668,87,1,89,0,0,2,2
358.4,674,87,1,89,0,0.2,1,1
537.6,831,87,1,89,0,0.5,1,1
1856,1730,87,1,89,6,2.3,1,1
2534.4,2279,87,1,89,13,1.9,1,1
3840,3236,87,1,89,20,2.2,1,1
4044.8,3313,87,2,89,26,1.8,1,1
4019.2,3237,87,2,89,32,1.7,1,1
4236.8,3610,87,2,89,37,1.4,1,1
3609.6,2881,86,3,90,41,1,1,1
2521.6,2765,86,3,90,44,0.5,1,1
409.6,1712,85,4,90,44,-0.4,2,2
627.2,1380,85,5,90,41,-0.9,2,2
601.6,1289,85,5,90,37,-1.4,2,2
448,1027,85,5,90,32,-1.6,2,2
332.8,930,85,4,90,27,-1.7,2,2
320,870,85,4,90,22,-1.3,2,2
384,966,86,3,90,18,-0.9,2,2
409.6,1028,86,3,90,16,-0.2,1,1
1126.4,1511,86,3,90,17,0.5,1,1
1625.6,1755,87,3,90,19,0.8,1,1
1587.2,1675,87,3,90,22,0.8,1,1
806.4,1540,87,3,90,23,0.2,1,1
1100.8,1623,87,3,90,25,0.4,1,1
1356.8,1694,87,3,90,26,0.6,1,1
793.6,1751,87,3,90,27,0.1,1,1
857.6,1833,87,3,90,27,0.1,1,1
857.6,1861,87,3,90,28,0.1,1,1
1241.6,1987,87,3,90,29,0.4,1,1
934.4,1934,87,3,90,30,0.1,1,1
665.6,1480,86,4,90,29,-0.1,1,1
601.6,1432,86,4,90,29,-0.1,1,1
627.2,1451,86,4,90,29,-0.1,1,1
1984,1984,86,4,90,30,0.8,1,1
2240,2074,86,4,90,33,0.8,1,1
2035.2,1898,86,4,90,35,0.7,1,1
2918.4,2472,86,3,90,37,0.7,1,1
3302.4,2812,86,3,90,41,1.1,1,1
896,2315,86,4,90,42,0,2,2
716.8,1991,86,4,90,41,-0.8,2,2
627.2,1665,86,4,90,34,-2.7,2,2
384,1071,86,4,91,25,-2.6,2,2
384,971,86,3,91,19,-1.1,2,2
460.8,1091,86,3,91,17,-0.2,1,1
396.8,1026,86,3,91,16,-0.2,1,1
371.2,970,86,3,91,15,-0.3,2,2
409.6,923,86,3,91,13,-1,2,2
448,860,86,3,90,9,-1,2,2
460.8,838,86,3,90,7,-0.6,2,2
358.4,798,86,1,90,5,-0.4,2,2
396.8,780,86,1,90,4,0,1,1
409.6,797,86,1,90,4,0,2,2
396.8,768,87,1,90,4,-0.2,2,2
409.6,768,87,1,90,2,-0.5,2,2
435.2,759,87,1,90,0,-0.3,2,2
371.2,686,87,1,90,0,-0.3,2,2
345.6,675,87,1,90,0,0,2,2
371.2,674,87,1,90,0,0,2,2
358.4,676,87,1,90,0,0,2,2
358.4,670,87,1,90,0,0,2,2
345.6,674,87,1,90,0,0,2,2
345.6,669,87,1,90,0,0,2,2
345.6,667,87,1,90,0,0,2,2
332.8,673,87,1,90,0,0,2,2
332.8,670,87,1,90,0,0,2,2
345.6,671,87,1,90,0,0,2,2
345.6,670,87,1,90,0,0,2,2
358.4,667,87,1,90,0,0,2,2
358.4,670,87,1,90,0,0,2,2
358.4,669,87,1,90,0,0,2,2
358.4,669,87,1,90,0,0,2,2
358.4,671,87,1,90,0,0,2,2
358.4,669,87,1,90,0,0,2,2
371.2,669,87,1,90,0,0,2,2
371.2,666,87,1,90,0,0,2,2
371.2,672,87,1,90,0,0,2,2
371.2,680,87,1,90,0,0.2,1,1
396.8,727,87,1,90,0,0.3,1,1
870.4,1224,87,1,90,3,1.2,1,1
1152,1585,87,1,90,8,1.3,1,1
1612.8,2078,87,1,90,12,1.3,1,1
1856,2237,87,1,90,16,1.2,1,1
1804.8,2087,87,2,90,19,1,1,1
1920,2310,87,2,90,23,1,1,1
1164.8,2268,87,2,91,25,0.3,1,1
